Hora inicio (UTC),Fin transacción (UTC),Zona horaria local,ID transacción,Estado,Tipo,Descripción,Pagador,Nº tarjeta,División gasto,Divisa original,Importe orig.,Moneda de pago,Importe pagado,Comisión,Cuenta,Fecha envío (UTC),ID gasto,Estado gasto,Descripción gasto,Tasa impuestos,Imp. impuestos,Categoría,Código categoría,Ingreso,Gasto
2025-02-22 07:58:31,2025-02-22 08:00:31,Europe/Madrid,TXN9388626647,Completed,Transfer In,"Owen, Giles and Johnson",Brian Green,4624 5716 6885 3168,3,GBP,887.6,GBP,887.6,8.88,GBP-ACC-417,2025-02-22 08:00:32,EXP0014,Completed,enhance intuitive experiences,0.1,88.76,Compras,COM002,0.0,887.6
2025-03-03 02:49:15,2025-03-03 02:56:15,Europe/Madrid,TXN3553688457,Completed,Transfer In,Graham-Brown,Kyle Lyons,4163 4922 4655 8342,2,JPY,995.2,EUR,129376.0,1293.76,JPY-ACC-827,2025-03-03 02:56:16,EXP0015,Completed,strategize 24/365 portals,0.1,12937.6,Alimentación,ALI001,0.0,129376.0
2025-03-08 16:47:27,2025-03-08 16:57:27,Europe/Madrid,TXN1200917231,Completed,Subscription,"Harrison, Barrera and Hudson",Christina Saunders,4065 5247 3583 8313,3,JPY,40.76,JPY,40.76,0.41,JPY-ACC-598,2025-03-08 16:57:28,EXP0016,Completed,generate granular communities,0.1,4.08,Ingresos,ING001,40.76,0.0
2025-03-07 02:56:33,2025-03-07 03:05:33,Europe/Madrid,TXN3005286885,Completed,Subscription,"King, Carlson and Ramos",John Ortiz,4192 9987 2367 3138,1,EUR,1061.0,JPY,8.16,0.08,EUR-ACC-511,2025-03-07 03:05:34,EXP0017,Completed,maximize extensible experiences,0.1,0.82,Cajero automático,ATM001,0.0,8.16
2025-03-08 13:31:13,2025-03-08 13:38:13,Europe/Madrid,TXN4241642981,Completed,Online Payment,Monroe-King,Alexandria Harmon,4626 2602 4120 2948,3,GBP,7.06,EUR,6.0,0.06,GBP-ACC-764,2025-03-08 13:38:14,EXP0018,Completed,facilitate revolutionary users,0.1,0.6,Salud,SAL007,0.0,6.0
2025-03-01 03:48:06,2025-03-01 03:52:06,Europe/Madrid,TXN9258233108,Completed,Card Payment,Allen Group,Dwayne Howard,4022 5500 8421 2896,2,GBP,338.14,USD,261.29,2.61,GBP-ACC-236,2025-03-01 03:52:07,EXP0019,Completed,productize end-to-end content,0.1,26.13,Alimentación,ALI001,0.0,261.29
2025-03-11 13:26:32,2025-03-11 13:35:32,Europe/Madrid,TXN4656046886,Completed,Card Payment,"Perry, Curtis and Smith",George Allen,4041 4370 5254 6156,2,GBP,140.79,USD,108.79,1.09,GBP-ACC-681,2025-03-11 13:35:33,EXP0020,Completed,whiteboard customized architectures,0.1,10.88,Cajero automático,ATM001,0.0,108.79
2025-04-11 20:31:55,2025-04-11 20:32:55,Europe/Madrid,TXN7165170521,Completed,Online Payment,"Carroll, Perry and Morales",Jennifer Bates,4182 4405 7153 5768,1,JPY,855.69,JPY,855.69,8.56,JPY-ACC-241,2025-04-11 20:32:56,EXP0021,Completed,integrate frictionless systems,0.1,85.57,Salud,SAL007,0.0,855.69
2025-02-08 02:09:45,2025-02-08 02:12:45,Europe/Madrid,TXN5697438006,Completed,Online Payment,Miles-Griffin,Susan Munoz,4036 1675 5417 3684,1,GBP,402.09,GBP,402.09,4.02,GBP-ACC-697,2025-02-08 02:12:46,EXP0022,Completed,implement robust models,0.1,40.21,Salud,SAL007,0.0,402.09
2025-03-05 12:48:03,2025-03-05 12:53:03,Europe/Madrid,TXN5788443644,Completed,ATM Withdrawal,Monroe-Williams,Valerie Perry,4956 1790 6044 3942,3,GBP,475.57,USD,367.49,3.67,GBP-ACC-846,2025-03-05 12:53:04,EXP0023,Completed,engage strategic channels,0.1,36.75,Cajero automático,ATM001,0.0,367.49
2025-02-03 07:37:06,2025-02-03 07:39:06,Europe/Madrid,TXN2781215744,Completed,Card Payment,Herring-Butler,Adrian Fischer,4574 8883 8766 6522,2,GBP,485.59,GBP,485.59,4.86,GBP-ACC-227,2025-02-03 07:39:07,EXP0024,Completed,transition mission-critical solutions,0.1,48.56,Cajero automático,ATM001,0.0,485.59
2025-02-13 10:21:46,2025-02-13 10:29:46,Europe/Madrid,TXN6591631324,Completed,ATM Withdrawal,"Banks, Russo and Ramirez",Ariel Nash,4941 3728 7153 2424,1,EUR,840.42,JPY,6.46,0.06,EUR-ACC-927,2025-02-13 10:29:47,EXP0025,Completed,strategize strategic web-readiness,0.1,0.65,Alimentación,ALI001,0.0,6.46
2025-02-28 13:25:34,2025-02-28 13:27:34,Europe/Madrid,TXN1033719836,Completed,Subscription,Marsh-Wilson,Matthew Roth,4569 9503 5748 8348,2,USD,900.59,EUR,990.65,9.91,USD-ACC-907,2025-02-28 13:27:35,EXP0026,Completed,visualize cross-media initiatives,0.1,99.06,Transporte,TRA003,0.0,990.65
2025-04-27 12:53:11,2025-04-27 13:03:11,Europe/Madrid,TXN4337619763,Completed,Subscription,Ramirez Inc,Daniel Green,4196 6873 2884 2046,3,USD,509.38,GBP,659.2,6.59,USD-ACC-128,2025-04-27 13:03:12,EXP0027,Completed,harness bricks-and-clicks networks,0.1,65.92,Compras,COM002,0.0,659.2
2025-05-01 05:24:12,2025-05-01 05:33:12,Europe/Madrid,TXN7429941741,Completed,Transfer In,Mathis Ltd,Kathleen Schneider,4212 1689 4537 3397,1,JPY,903.67,USD,106797.36,1067.97,JPY-ACC-302,2025-05-01 05:33:13,EXP0028,Completed,target user-centric relationships,0.1,10679.74,Alimentación,ALI001,0.0,106797.36
2025-04-27 11:49:51,2025-04-27 11:57:51,Europe/Madrid,TXN9516873817,Completed,ATM Withdrawal,"Thompson, Bennett and Carter",Devon Morgan,4577 7650 7934 9539,2,JPY,435.89,USD,51514.27,515.14,JPY-ACC-795,2025-04-27 11:57:52,EXP0029,Completed,disintermediate e-business supply-chains,0.1,5151.43,Alimentación,ALI001,0.0,51514.27
2025-04-18 13:28:10,2025-04-18 13:34:10,Europe/Madrid,TXN1939623321,Completed,Transfer In,"Johnson, Nelson and Hernandez",Heather Hays,4722 6214 6272 1581,3,JPY,1197.83,USD,141561.73,1415.62,JPY-ACC-251,2025-04-18 13:34:11,EXP0030,Completed,enable distributed initiatives,0.1,14156.17,Entretenimiento,ENT005,0.0,141561.73
2025-03-20 07:16:05,2025-03-20 07:21:05,Europe/Madrid,TXN3020487407,Completed,Card Payment,"Allen, Williams and White",Andrea Powell,4528 1645 2087 4687,1,USD,1011.27,GBP,1308.7,13.09,USD-ACC-141,2025-03-20 07:21:06,EXP0031,Completed,facilitate seamless e-markets,0.1,130.87,Salud,SAL007,0.0,1308.7
2025-02-12 10:28:22,2025-02-12 10:33:22,Europe/Madrid,TXN4701846867,Completed,ATM Withdrawal,Hoffman Group,Ryan Cherry,4889 8548 7083 9273,2,EUR,911.4,JPY,7.01,0.07,EUR-ACC-642,2025-02-12 10:33:23,EXP0032,Completed,facilitate 24/7 info-mediaries,0.1,0.7,Cajero automático,ATM001,0.0,7.01
2025-02-13 03:36:54,2025-02-13 03:45:54,Europe/Madrid,TXN4241060792,Completed,Transfer In,"Jimenez, Johnson and Rogers",Brittney Jackson,4548 7845 8900 7366,3,EUR,689.93,EUR,689.93,6.9,EUR-ACC-700,2025-02-13 03:45:55,EXP0033,Completed,maximize enterprise functionalities,0.1,68.99,Salud,SAL007,0.0,689.93
2025-02-10 07:50:20,2025-02-10 07:54:20,Europe/Madrid,TXN6076517866,Completed,Online Payment,Morton and Sons,Amy Smith,4583 5169 6450 2075,2,EUR,789.41,EUR,789.41,7.89,EUR-ACC-980,2025-02-10 07:54:21,EXP0034,Completed,strategize distributed systems,0.1,78.94,Salud,SAL007,0.0,789.41
2025-05-02 05:24:28,2025-05-02 05:29:28,Europe/Madrid,TXN2647890592,Completed,ATM Withdrawal,Kramer-Klein,Bradley Robinson,4656 3086 4914 5703,3,GBP,927.66,JPY,6.07,0.06,GBP-ACC-949,2025-05-02 05:29:29,EXP0035,Completed,morph frictionless e-commerce,0.1,0.61,Ingresos,ING001,6.07,0.0
2025-02-20 12:33:39,2025-02-20 12:39:39,Europe/Madrid,TXN5900149149,Completed,Online Payment,Wilson-Short,Alyssa Fox,4734 2337 3480 6779,2,EUR,1130.41,JPY,8.7,0.09,EUR-ACC-136,2025-02-20 12:39:40,EXP0036,Completed,engineer 24/365 initiatives,0.1,0.87,Transporte,TRA003,0.0,8.7
2025-03-22 03:35:39,2025-03-22 03:45:39,Europe/Madrid,TXN1650119556,Completed,Card Payment,Scott-Davidson,Rebecca Hanson MD,4612 3174 6306 2725,3,JPY,465.86,EUR,60561.8,605.62,JPY-ACC-662,2025-03-22 03:45:40,EXP0037,Completed,target enterprise relationships,0.1,6056.18,Alimentación,ALI001,0.0,60561.8
2025-03-26 22:28:50,2025-03-26 22:34:50,Europe/Madrid,TXN4785054263,Completed,Online Payment,Garcia PLC,Mrs. Jennifer Frazier,4717 8654 6535 3036,3,USD,461.95,JPY,3.91,0.04,USD-ACC-830,2025-03-26 22:34:51,EXP0038,Completed,matrix rich methodologies,0.1,0.39,Alimentación,ALI001,0.0,3.91
2025-05-01 22:10:13,2025-05-01 22:20:13,Europe/Madrid,TXN8728111668,Completed,Card Payment,Bass-Bolton,Shelly Daniels,4531 4098 1625 7422,2,GBP,946.91,USD,731.7,7.32,GBP-ACC-480,2025-05-01 22:20:14,EXP0039,Completed,re-contextualize magnetic synergies,0.1,73.17,Transporte,TRA003,0.0,731.7
2025-03-06 22:04:02,2025-03-06 22:08:02,Europe/Madrid,TXN5466682991,Completed,Transfer In,"Estes, Nolan and Meyers",Charles Scott,4922 1436 9520 4538,1,JPY,429.79,EUR,55872.7,558.73,JPY-ACC-195,2025-03-06 22:08:03,EXP0040,Completed,generate B2C architectures,0.1,5587.27,Alimentación,ALI001,0.0,55872.7
2025-03-30 11:39:51,2025-03-30 11:48:51,Europe/Madrid,TXN7725974497,Completed,Card Payment,Robbins-Roman,Bradley Melton,4958 2716 7809 2030,1,JPY,610.01,EUR,79301.3,793.01,JPY-ACC-525,2025-03-30 11:48:52,EXP0041,Completed,integrate innovative e-services,0.1,7930.13,Compras,COM002,0.0,79301.3
2025-02-14 13:22:12,2025-02-14 13:25:12,Europe/Madrid,TXN2791085173,Completed,Subscription,Turner Group,Christopher Hernandez,4941 6316 5138 2286,2,EUR,950.24,JPY,7.31,0.07,EUR-ACC-172,2025-02-14 13:25:13,EXP0042,Completed,visualize ubiquitous relationships,0.1,0.73,Salud,SAL007,0.0,7.31
2025-03-22 22:01:52,2025-03-22 22:03:52,Europe/Madrid,TXN1764107585,Completed,ATM Withdrawal,Santana-Shaw,Meghan Trujillo,4838 6993 2155 3347,1,GBP,831.05,GBP,831.05,8.31,GBP-ACC-103,2025-03-22 22:03:53,EXP0043,Completed,engineer intuitive e-commerce,0.1,83.11,Cajero automático,ATM001,0.0,831.05
2025-04-30 19:55:07,2025-04-30 19:59:07,Europe/Madrid,TXN3961235971,Completed,Online Payment,Roberts PLC,William Bruce,4238 3324 4063 8439,1,EUR,898.33,GBP,1056.86,10.57,EUR-ACC-588,2025-04-30 19:59:08,EXP0044,Completed,synergize bleeding-edge web-readiness,0.1,105.69,Cajero automático,ATM001,0.0,1056.86
2025-04-06 16:10:53,2025-04-06 16:16:53,Europe/Madrid,TXN6733837885,Completed,Transfer In,Yang LLC,Dawn Jones,4303 6357 4015 2323,1,GBP,158.8,USD,122.71,1.23,GBP-ACC-646,2025-04-06 16:16:54,EXP0045,Completed,cultivate back-end content,0.1,12.27,Cajero automático,ATM001,0.0,122.71
2025-04-17 21:18:21,2025-04-17 21:28:21,Europe/Madrid,TXN4454830042,Completed,Transfer In,Cruz-Reyes,Timothy Allen,4520 4978 4877 4013,2,GBP,190.21,USD,146.98,1.47,GBP-ACC-481,2025-04-17 21:28:22,EXP0046,Completed,drive open-source markets,0.1,14.7,Compras,COM002,0.0,146.98
2025-02-05 09:01:42,2025-02-05 09:08:42,Europe/Madrid,TXN9924603260,Completed,Card Payment,Butler-Vasquez,Michelle Nunez,4135 7885 5905 7828,3,EUR,1033.59,EUR,1033.59,10.34,EUR-ACC-245,2025-02-05 09:08:43,EXP0047,Completed,orchestrate synergistic e-markets,0.1,103.36,Transporte,TRA003,0.0,1033.59
2025-02-05 07:16:17,2025-02-05 07:26:17,Europe/Madrid,TXN6360370463,Completed,Transfer In,"Owens, Ellis and Garcia",Alicia George,4652 9670 1947 7167,2,JPY,359.74,GBP,55019.06,550.19,JPY-ACC-108,2025-02-05 07:26:18,EXP0048,Completed,enable world-class platforms,0.1,5501.91,Alimentación,ALI001,0.0,55019.06
2025-04-10 20:36:02,2025-04-10 20:43:02,Europe/Madrid,TXN9385240458,Completed,Card Payment,"Banks, Lee and Logan",Ashley Brown,4973 4038 2779 5537,1,GBP,531.23,GBP,531.23,5.31,GBP-ACC-671,2025-04-10 20:43:03,EXP0049,Completed,scale plug-and-play e-business,0.1,53.12,Cajero automático,ATM001,0.0,531.23
2025-04-04 06:41:30,2025-04-04 06:51:30,Europe/Madrid,TXN7106173511,Completed,ATM Withdrawal,Santos-Montes,Elizabeth Sweeney,4253 8429 6576 9574,1,USD,955.4,JPY,8.08,0.08,USD-ACC-463,2025-04-04 06:51:31,EXP0050,Completed,redefine integrated technologies,0.1,0.81,Transporte,TRA003,0.0,8.08
2025-05-01 21:47:57,2025-05-01 21:55:57,Europe/Madrid,TXN8297113849,Completed,Online Payment,"Brennan, Becker and Patrick",Rachel Lopez,4473 1127 4583 5891,1,EUR,581.5,USD,528.64,5.29,EUR-ACC-887,2025-05-01 21:55:58,EXP0051,Completed,generate impactful systems,0.1,52.86,Cajero automático,ATM001,0.0,528.64
2025-03-09 23:08:40,2025-03-09 23:13:40,Europe/Madrid,TXN8207722818,Completed,ATM Withdrawal,Gibson Ltd,Andrew Villa,4556 7640 5588 1354,1,USD,510.78,JPY,4.32,0.04,USD-ACC-376,2025-03-09 23:13:41,EXP0052,Completed,synthesize dot-com web-readiness,0.1,0.43,Alimentación,ALI001,0.0,4.32
2025-03-24 09:07:54,2025-03-24 09:08:54,Europe/Madrid,TXN6379910778,Completed,Transfer In,"Carroll, Liu and Hall",Stacey Burton,4892 4211 2396 1580,1,EUR,310.12,JPY,2.39,0.02,EUR-ACC-911,2025-03-24 09:08:55,EXP0053,Completed,deliver next-generation mindshare,0.1,0.24,Transporte,TRA003,0.0,2.39
2025-03-03 12:43:27,2025-03-03 12:48:27,Europe/Madrid,TXN4691323556,Completed,ATM Withdrawal,Thomas PLC,Bradley Garcia,4069 7796 5746 5632,3,GBP,641.77,EUR,545.5,5.46,GBP-ACC-237,2025-03-03 12:48:28,EXP0054,Completed,optimize mission-critical e-markets,0.1,54.55,Entretenimiento,ENT005,0.0,545.5
2025-04-18 00:25:30,2025-04-18 00:35:30,Europe/Madrid,TXN7629596201,Completed,Transfer In,Navarro Inc,Jessica Butler,4299 8247 7091 3257,1,USD,639.06,JPY,5.41,0.05,USD-ACC-226,2025-04-18 00:35:31,EXP0055,Completed,synthesize world-class portals,0.1,0.54,Salud,SAL007,0.0,5.41
2025-02-09 12:18:17,2025-02-09 12:20:17,Europe/Madrid,TXN6578996184,Completed,Subscription,Jones-Howard,Gregory Smith,4760 7801 4571 8810,2,JPY,483.26,JPY,483.26,4.83,JPY-ACC-811,2025-02-09 12:20:18,EXP0056,Completed,enhance bricks-and-clicks partnerships,0.1,48.33,Compras,COM002,0.0,483.26
2025-03-31 19:26:59,2025-03-31 19:35:59,Europe/Madrid,TXN2289285412,Completed,Subscription,Clark and Sons,Monique Santana,4053 4534 1418 6822,2,GBP,592.79,EUR,503.87,5.04,GBP-ACC-500,2025-03-31 19:36:00,EXP0057,Completed,extend clicks-and-mortar technologies,0.1,50.39,Transporte,TRA003,0.0,503.87
2025-03-09 17:25:56,2025-03-09 17:26:56,Europe/Madrid,TXN2697007969,Completed,Transfer In,"Johnson, Jacobs and Villarreal",Brian Cooper,4042 2903 1061 5429,3,EUR,825.21,EUR,825.21,8.25,EUR-ACC-816,2025-03-09 17:26:57,EXP0058,Completed,morph end-to-end web-readiness,0.1,82.52,Salud,SAL007,0.0,825.21
2025-02-22 02:15:06,2025-02-22 02:20:06,Europe/Madrid,TXN5747915694,Completed,Subscription,Rogers-Woodward,Shawn Tran,4733 6409 7293 3756,2,USD,171.39,GBP,221.8,2.22,USD-ACC-531,2025-02-22 02:20:07,EXP0059,Completed,harness viral applications,0.1,22.18,Compras,COM002,0.0,221.8
2025-02-09 17:35:43,2025-02-09 17:42:43,Europe/Madrid,TXN2357517604,Completed,ATM Withdrawal,Ferguson LLC,Steven Bautista,4932 4060 8276 6720,2,USD,538.41,USD,538.41,5.38,USD-ACC-537,2025-02-09 17:42:44,EXP0060,Completed,exploit magnetic vortals,0.1,53.84,Entretenimiento,ENT005,0.0,538.41
2025-03-23 05:47:49,2025-03-23 05:55:49,Europe/Madrid,TXN5037418078,Completed,Online Payment,Young and Sons,Jason Williams,4727 1815 7362 1545,1,JPY,876.55,USD,103592.27,1035.92,JPY-ACC-748,2025-03-23 05:55:50,EXP0061,Completed,enable vertical interfaces,0.1,10359.23,Transporte,TRA003,0.0,103592.27
2025-02-09 10:51:57,2025-02-09 10:53:57,Europe/Madrid,TXN7918246891,Completed,Online Payment,"Jones, Fisher and Pierce",Brenda Henderson,4088 9390 5660 6784,2,USD,438.24,USD,438.24,4.38,USD-ACC-569,2025-02-09 10:53:58,EXP0062,Completed,whiteboard synergistic infrastructures,0.1,43.82,Compras,COM002,0.0,438.24
2025-02-25 23:18:53,2025-02-25 23:19:53,Europe/Madrid,TXN8319125984,Completed,ATM Withdrawal,Chen-Walsh,Jamie Smith,4345 5356 1691 1717,1,JPY,698.41,JPY,698.41,6.98,JPY-ACC-266,2025-02-25 23:19:54,EXP0063,Completed,drive world-class systems,0.1,69.84,Cajero automático,ATM001,0.0,698.41
2025-02-21 16:37:42,2025-02-21 16:43:42,Europe/Madrid,TXN7909047236,Completed,Online Payment,Carter-Ruiz,Rebecca Hill,4943 4620 8433 4159,2,EUR,349.9,EUR,349.9,3.5,EUR-ACC-722,2025-02-21 16:43:43,EXP0064,Completed,engage B2C systems,0.1,34.99,Compras,COM002,0.0,349.9
2025-03-12 14:30:51,2025-03-12 14:32:51,Europe/Madrid,TXN6691447857,Completed,Card Payment,Saunders Group,Tyler Peterson,4534 1726 4115 7040,1,EUR,954.36,GBP,1122.78,11.23,EUR-ACC-314,2025-03-12 14:32:52,EXP0065,Completed,mesh B2B convergence,0.1,112.28,Entretenimiento,ENT005,0.0,1122.78
2025-03-18 18:50:56,2025-03-18 18:59:56,Europe/Madrid,TXN8454356652,Completed,Transfer In,"Walsh, Webb and Harris",Michael Montgomery,4529 7302 5172 8898,2,GBP,227.78,USD,176.01,1.76,GBP-ACC-992,2025-03-18 18:59:57,EXP0066,Completed,implement killer content,0.1,17.6,Cajero automático,ATM001,0.0,176.01
2025-02-13 00:00:04,2025-02-13 00:04:04,Europe/Madrid,TXN7274651120,Completed,Subscription,"Turner, Lynch and Coleman",Anna Jimenez,4048 7752 9086 8545,2,EUR,369.06,EUR,369.06,3.69,EUR-ACC-220,2025-02-13 00:04:05,EXP0067,Completed,enhance wireless niches,0.1,36.91,Alimentación,ALI001,0.0,369.06
2025-04-04 06:06:58,2025-04-04 06:08:58,Europe/Madrid,TXN6211799046,Completed,Online Payment,Martinez Ltd,David Fox,4078 7994 7463 1644,1,EUR,291.65,USD,265.14,2.65,EUR-ACC-355,2025-04-04 06:08:59,EXP0068,Completed,benchmark impactful systems,0.1,26.51,Transporte,TRA003,0.0,265.14
2025-02-11 19:02:52,2025-02-11 19:10:52,Europe/Madrid,TXN2867639416,Completed,Online Payment,"King, Campbell and Fischer",Linda Johnson,4921 5677 9864 4296,3,USD,156.32,GBP,202.3,2.02,USD-ACC-403,2025-02-11 19:10:53,EXP0069,Completed,generate back-end content,0.1,20.23,Cajero automático,ATM001,0.0,202.3
2025-03-25 16:45:53,2025-03-25 16:53:53,Europe/Madrid,TXN1995521374,Completed,Card Payment,Wilson-Villarreal,Pamela Jones,4629 2620 3827 7793,1,JPY,644.79,GBP,98614.94,986.15,JPY-ACC-323,2025-03-25 16:53:54,EXP0070,Completed,cultivate distributed technologies,0.1,9861.49,Cajero automático,ATM001,0.0,98614.94
2025-03-24 08:35:52,2025-03-24 08:40:52,Europe/Madrid,TXN1213762068,Completed,Subscription,Berry Ltd,Brian Sosa,4660 5464 2937 6880,1,EUR,891.08,JPY,6.85,0.07,EUR-ACC-791,2025-03-24 08:40:53,EXP0071,Completed,incubate wireless niches,0.1,0.69,Ingresos,ING001,6.85,0.0
2025-03-02 06:17:53,2025-03-02 06:26:53,Europe/Madrid,TXN7520418755,Completed,Transfer In,Watson-Fuller,Michael James,4239 7114 8868 5699,3,GBP,268.2,USD,207.25,2.07,GBP-ACC-275,2025-03-02 06:26:54,EXP0072,Completed,benchmark plug-and-play channels,0.1,20.73,Alimentación,ALI001,0.0,207.25
2025-03-28 05:17:23,2025-03-28 05:20:23,Europe/Madrid,TXN2699006845,Completed,ATM Withdrawal,"Evans, Chen and Newton",John Mason,4522 2252 3221 4383,2,EUR,665.09,GBP,782.46,7.82,EUR-ACC-683,2025-03-28 05:20:24,EXP0073,Completed,synthesize leading-edge systems,0.1,78.25,Cajero automático,ATM001,0.0,782.46
2025-03-03 00:46:43,2025-03-03 00:50:43,Europe/Madrid,TXN6946840169,Completed,Online Payment,Mcgee Inc,Cindy Kelly,4605 3171 9166 2769,3,USD,879.88,USD,879.88,8.8,USD-ACC-953,2025-03-03 00:50:44,EXP0074,Completed,strategize value-added deliverables,0.1,87.99,Ingresos,ING001,879.88,0.0
2025-02-08 08:09:08,2025-02-08 08:10:08,Europe/Madrid,TXN5117285318,Completed,Online Payment,"Camacho, Parks and Harmon",Abigail Williams,4668 3671 9105 8879,3,GBP,588.57,GBP,588.57,5.89,GBP-ACC-421,2025-02-08 08:10:09,EXP0075,Completed,re-intermediate clicks-and-mortar niches,0.1,58.86,Alimentación,ALI001,0.0,588.57
